,leiden_0.5,leiden_1,leiden_2,UMAP1,UMAP2
E7.5:injection5:clone_10,7,8,7,13.653749,6.33955
E7.5:injection5:clone_101,7,8,7,13.723656,6.923771
E7.5:injection5:clone_102,7,8,7,14.069635,6.4788523
E7.5:injection5:clone_1043,3,4,4,12.405624,11.204674
E7.5:injection5:clone_106,7,8,7,14.121258,6.8411956
E7.5:injection5:clone_11,7,8,7,14.161154,7.234945
E7.5:injection5:clone_1120,5,6,6,7.332313,-1.2252835
E7.5:injection5:clone_113,4,10,15,11.108439,8.219435
E7.5:injection5:clone_114,7,8,7,14.360986,6.891417
E7.5:injection5:clone_118,4,10,15,11.42003,8.267656
E7.5:injection5:clone_120,7,8,7,13.673529,7.7559085
E7.5:injection5:clone_122,7,8,7,14.13697,6.3355207
E7.5:injection5:clone_129,4,10,15,11.737362,8.516671
E7.5:injection5:clone_132,7,8,7,13.091039,7.2678027
E7.5:injection5:clone_145,7,8,7,13.051783,7.5553575
E7.5:injection5:clone_148,7,8,7,14.168363,7.1186543
E7.5:injection5:clone_150,7,8,7,13.098129,6.3508463
E7.5:injection5:clone_157,7,8,7,13.926729,7.3622384
E7.5:injection5:clone_16,7,8,7,13.403218,6.964819
E7.5:injection5:clone_1620,0,0,0,6.9973736,8.218039
E7.5:injection5:clone_1621,0,0,0,7.078962,6.8149858
E7.5:injection5:clone_1622,1,1,9,7.759271,2.5398653
E7.5:injection5:clone_1623,0,0,0,7.95493,7.7590647
E7.5:injection5:clone_1624,0,0,0,7.132223,8.995076
E7.5:injection5:clone_1625,0,0,0,6.705373,9.052171
E7.5:injection5:clone_1626,0,0,14,9.147689,10.748574
E7.5:injection5:clone_1627,0,0,14,6.9216194,9.55595
E7.5:injection5:clone_1628,0,0,0,7.925972,8.318712
E7.5:injection5:clone_1629,1,9,10,8.932171,3.3434384
E7.5:injection5:clone_1630,1,1,9,8.11108,3.1682582
E7.5:injection5:clone_1631,0,0,0,7.5758333,7.0184255
E7.5:injection5:clone_1632,1,1,1,8.189257,4.701872
E7.5:injection5:clone_1634,1,9,10,9.67243,3.7818282
E7.5:injection5:clone_1635,1,1,0,7.531041,5.4121146
E7.5:injection5:clone_1636,0,0,14,7.1801343,9.550721
E7.5:injection5:clone_1637,0,0,0,7.3242702,6.640074
E7.5:injection5:clone_1638,1,1,1,8.063342,3.8525615
E7.5:injection5:clone_1639,1,1,9,7.0096717,2.4944916
E7.5:injection5:clone_1640,0,0,0,7.256126,8.707742
E7.5:injection5:clone_1641,0,0,14,7.5290837,9.568455
E7.5:injection5:clone_1642,1,9,10,8.750702,5.056877
E7.5:injection5:clone_1644,1,1,9,8.279759,4.0341735
E7.5:injection5:clone_1645,0,0,14,8.363291,10.079734
E7.5:injection5:clone_1646,0,0,5,8.249007,6.323495
E7.5:injection5:clone_1647,0,0,0,6.49219,8.457303
E7.5:injection5:clone_1648,0,0,14,8.549253,10.455958
E7.5:injection5:clone_1649,0,0,14,7.2990227,9.841533
E7.5:injection5:clone_1650,1,1,9,8.517834,3.6293294
E7.5:injection5:clone_1652,0,0,14,7.653604,10.249099
E7.5:injection5:clone_1654,0,0,0,6.8756824,9.089406
E7.5:injection5:clone_1655,0,0,0,7.6451445,7.7255573
E7.5:injection5:clone_1656,0,0,5,9.286115,7.796432
E7.5:injection5:clone_1657,1,9,10,9.031296,4.5604224
E7.5:injection5:clone_1658,1,1,1,7.56907,3.6028488
E7.5:injection5:clone_1660,0,0,14,9.691071,10.662731
E7.5:injection5:clone_1661,0,0,14,7.0059505,9.422659
E7.5:injection5:clone_1662,0,0,5,9.189251,7.8259215
E7.5:injection5:clone_1663,0,0,0,6.9685063,9.034495
E7.5:injection5:clone_1664,0,0,0,6.609676,8.935161
E7.5:injection5:clone_1665,0,0,14,8.512294,10.453161
E7.5:injection5:clone_1667,1,1,9,6.643578,2.905164
E7.5:injection5:clone_1670,3,4,4,12.348805,11.20229
E7.5:injection5:clone_1671,0,0,5,8.038586,7.509565
E7.5:injection5:clone_1672,0,0,5,8.572736,6.9015946
E7.5:injection5:clone_1673,1,1,9,6.83804,2.378954
E7.5:injection5:clone_1674,3,2,4,13.486871,11.690574
E7.5:injection5:clone_1676,0,0,0,7.5124846,7.9858932
E7.5:injection5:clone_1677,0,0,14,7.4532804,9.788955
E7.5:injection5:clone_1678,5,6,6,6.931458,-0.3678046
E7.5:injection5:clone_1679,1,1,1,7.803594,4.0299435
E7.5:injection5:clone_1680,3,4,4,12.743561,11.43773
E7.5:injection5:clone_1681,5,6,6,6.6127815,-0.66799676
E7.5:injection5:clone_1684,0,0,14,8.934662,9.709593
E7.5:injection5:clone_1686,1,9,10,8.899441,4.272265
E7.5:injection5:clone_1687,1,1,1,8.222705,4.6080813
E7.5:injection5:clone_1688,3,4,8,12.399894,13.394196
E7.5:injection5:clone_1691,1,9,10,9.529988,4.511972
E7.5:injection5:clone_1695,1,1,1,7.848424,4.146849
E7.5:injection5:clone_1696,1,1,9,7.1338344,2.8521173
E7.5:injection5:clone_1697,3,4,8,12.011331,13.560268
E7.5:injection5:clone_1698,1,1,9,7.830943,3.7472196
E7.5:injection5:clone_1699,0,0,0,7.434582,7.7629356
E7.5:injection5:clone_17,7,8,7,13.70245,6.28129
E7.5:injection5:clone_1700,3,4,4,12.647264,11.073175
E7.5:injection5:clone_1701,0,0,0,6.7833138,8.781294
E7.5:injection5:clone_1703,0,0,0,7.213389,7.1139693
E7.5:injection5:clone_1704,0,0,14,8.956741,10.429637
E7.5:injection5:clone_1705,0,0,5,8.692361,7.235762
E7.5:injection5:clone_1706,0,0,0,7.414751,9.275363
E7.5:injection5:clone_1707,6,7,18,-1.043981,-1.3441277
E7.5:injection5:clone_1708,0,0,0,6.6566176,9.291395
E7.5:injection5:clone_1711,1,1,9,8.321076,3.0230923
E7.5:injection5:clone_1712,0,0,0,7.439142,8.419427
E7.5:injection5:clone_1713,1,1,9,8.276256,3.6119847
E7.5:injection5:clone_1716,3,2,4,13.663839,11.703081
E7.5:injection5:clone_1729,1,9,10,9.535782,3.7178009
E7.5:injection5:clone_1730,0,0,0,7.1859426,8.19081
E7.5:injection5:clone_1736,5,6,6,6.505889,-1.1379145
E7.5:injection5:clone_1742,5,6,6,6.1526613,-1.2748119
E7.5:injection5:clone_1745,1,1,1,7.348146,6.061978
E7.5:injection5:clone_1746,0,0,0,7.881713,8.066585
E7.5:injection5:clone_1749,6,7,13,-2.2723448,-0.28407967
E7.5:injection5:clone_175,7,8,7,12.928637,7.537737
E7.5:injection5:clone_1756,1,1,1,7.6171837,4.335018
E7.5:injection5:clone_1758,3,4,4,12.274912,11.112593
E7.5:injection5:clone_1779,0,0,14,7.6008053,9.709976
E7.5:injection5:clone_185,7,8,7,13.835724,7.2255626
E7.5:injection5:clone_188,7,8,7,14.425988,7.1057525
E7.5:injection5:clone_20,7,8,7,13.563105,7.1825666
E7.5:injection5:clone_209,4,10,15,12.065193,7.4386277
E7.5:injection5:clone_21,4,10,15,11.227483,8.113848
E7.5:injection5:clone_220,4,10,15,12.148778,7.0722394
E7.5:injection5:clone_237,7,8,7,13.137892,6.4877796
E7.5:injection5:clone_24,4,10,15,11.92604,7.8803687
E7.5:injection5:clone_250,7,8,7,13.5365305,7.4783564
E7.5:injection5:clone_262,4,10,15,12.353133,7.5504866
E7.5:injection5:clone_263,7,8,7,14.171024,6.8535147
E7.5:injection5:clone_264,7,8,7,13.699957,6.8774586
E7.5:injection5:clone_268,7,8,7,13.65792,7.0016537
E7.5:injection5:clone_27,7,8,7,13.449825,6.441059
E7.5:injection5:clone_273,5,6,6,6.4314947,-1.5768257
E7.5:injection5:clone_279,7,8,7,13.493909,6.147049
E7.5:injection5:clone_28,7,8,7,13.525417,7.2366605
E7.5:injection5:clone_282,4,10,15,11.607554,8.902043
E7.5:injection5:clone_29,7,8,7,13.238142,6.3030086
E7.5:injection5:clone_297,4,10,15,11.347951,8.850775
E7.5:injection5:clone_301,5,6,6,6.1930423,-0.89639646
E7.5:injection5:clone_324,4,10,15,11.519249,8.607351
E7.5:injection5:clone_333,4,10,15,10.8676405,8.782984
E7.5:injection5:clone_35,4,10,15,11.404963,8.145638
E7.5:injection5:clone_353,7,8,7,13.063087,6.6644278
E7.5:injection5:clone_356,4,10,15,11.331374,8.028305
E7.5:injection5:clone_377,4,10,15,11.514331,8.883395
E7.5:injection5:clone_378,4,10,15,11.632598,10.027489
E7.5:injection5:clone_38,7,8,7,13.072304,6.517113
E7.5:injection5:clone_381,4,10,15,11.835496,8.401849
E7.5:injection5:clone_385,4,10,15,12.074757,8.414116
E7.5:injection5:clone_397,4,10,15,12.184809,7.8859982
E7.5:injection5:clone_42,7,8,7,13.450768,7.085274
E7.5:injection5:clone_438,7,8,7,13.374374,7.4788218
E7.5:injection5:clone_442,7,8,7,13.651705,7.6497746
E7.5:injection5:clone_45,7,8,7,13.962902,6.9534497
E7.5:injection5:clone_467,4,10,15,11.975809,8.820703
E7.5:injection5:clone_49,7,8,7,14.0491705,6.670345
E7.5:injection5:clone_5,7,8,7,13.785107,6.593913
E7.5:injection5:clone_50,7,8,7,13.884609,7.8050528
E7.5:injection5:clone_51,7,8,7,14.003268,6.7251
E7.5:injection5:clone_55,4,10,15,11.434314,8.545882
E7.5:injection5:clone_60,7,8,7,13.1998205,7.255575
E7.5:injection5:clone_61,4,10,15,11.5793495,8.162949
E7.5:injection5:clone_638,4,10,15,11.181179,8.367282
E7.5:injection5:clone_67,7,8,7,13.371534,6.973673
E7.5:injection5:clone_75,7,8,7,13.588163,7.26237
E7.5:injection5:clone_78,7,8,7,13.170087,6.801534
E7.5:injection5:clone_8,7,8,7,13.353497,7.305612
E7.5:injection5:clone_85,4,10,15,12.453612,8.059739
E7.5:injection5:clone_90,7,8,7,14.559463,6.7154055
E7.5:injection5:clone_92,7,8,7,14.289211,6.9669046
E7.5:injection5:clone_93,7,8,7,13.815951,6.4041257
E7.5:injection5:clone_94,7,8,7,12.855306,6.8454914
E7.5:injection5:clone_96,4,10,15,12.424272,7.5400414
E7.5:injection6:clone_1000,1,1,9,7.6259646,1.2384034
E7.5:injection6:clone_1001,1,9,10,9.172274,4.9834833
E7.5:injection6:clone_1003,0,0,5,9.359377,8.268119
E7.5:injection6:clone_1005,0,0,5,9.847191,8.890303
E7.5:injection6:clone_1006,2,3,11,-2.3670642,6.729112
E7.5:injection6:clone_1008,1,9,10,9.574367,2.6864815
E7.5:injection6:clone_1009,0,0,5,9.570588,8.369842
E7.5:injection6:clone_1011,0,0,14,8.546073,10.575723
E7.5:injection6:clone_1012,2,5,2,-3.4346495,5.56886
E7.5:injection6:clone_1016,1,9,10,9.33808,4.7676005
E7.5:injection6:clone_1018,3,2,3,15.467668,11.27373
E7.5:injection6:clone_1019,2,5,2,-2.999205,5.009456
E7.5:injection6:clone_1020,3,2,4,13.841212,12.762377
E7.5:injection6:clone_1021,3,2,4,14.645778,13.096134
E7.5:injection6:clone_1022,2,3,11,-3.3755777,6.056752
E7.5:injection6:clone_1023,0,0,0,6.2469244,7.887387
E7.5:injection6:clone_1024,9,13,20,-0.7896818,10.723153
E7.5:injection6:clone_1025,0,0,5,9.222357,7.434598
E7.5:injection6:clone_1027,8,11,17,-1.5701449,8.806559
E7.5:injection6:clone_1029,6,7,13,-3.2757835,-0.5203072
E7.5:injection6:clone_1030,2,3,12,-1.1771168,7.551935
E7.5:injection6:clone_1031,0,0,5,9.599572,7.862577
E7.5:injection6:clone_1032,3,2,3,15.558168,11.592394
E7.5:injection6:clone_1033,1,9,10,10.048912,3.1467967
