,leiden_0.5,leiden_1,leiden_2,UMAP1,UMAP2
E7.5:injection5:clone_0,0,3,4,15.26047,0.9836022
E7.5:injection5:clone_10,3,1,16,16.624128,4.397777
E7.5:injection5:clone_1002,7,11,14,2.967766,9.066638
E7.5:injection5:clone_101,3,1,15,15.241918,3.9574878
E7.5:injection5:clone_1012,0,8,1,11.148789,-0.3511313
E7.5:injection5:clone_102,3,1,7,15.319331,2.075708
E7.5:injection5:clone_1026,0,3,4,13.270707,-0.13809562
E7.5:injection5:clone_103,1,2,8,8.88377,-1.4271342
E7.5:injection5:clone_1042,1,6,12,9.936364,-3.0225203
E7.5:injection5:clone_105,3,1,7,16.697508,3.3239892
E7.5:injection5:clone_1057,1,2,8,10.461592,-1.7670478
E7.5:injection5:clone_1059,1,6,12,10.978247,-2.3241093
E7.5:injection5:clone_106,3,1,16,16.821981,4.432029
E7.5:injection5:clone_107,0,3,4,15.032163,1.5766346
E7.5:injection5:clone_109,3,1,15,14.022879,2.9212737
E7.5:injection5:clone_11,5,5,0,15.097017,-3.3824978
E7.5:injection5:clone_110,1,2,10,8.00804,-1.7787838
E7.5:injection5:clone_111,0,3,1,13.258589,-1.56747
E7.5:injection5:clone_112,1,2,10,8.87073,-1.5130472
E7.5:injection5:clone_113,1,2,10,7.9554887,-1.9353597
E7.5:injection5:clone_114,5,5,0,13.972273,-4.558324
E7.5:injection5:clone_115,1,2,8,10.1487465,-0.84963566
E7.5:injection5:clone_116,1,2,8,10.101654,-1.4564952
E7.5:injection5:clone_117,0,8,1,10.927633,-0.2649239
E7.5:injection5:clone_118,1,2,10,7.8086104,-1.6598859
E7.5:injection5:clone_119,6,9,9,-1.0365093,1.6979662
E7.5:injection5:clone_12,0,3,4,14.152343,-0.92357475
E7.5:injection5:clone_120,0,3,4,14.875251,0.33728004
E7.5:injection5:clone_121,1,2,8,9.807516,-2.2152617
E7.5:injection5:clone_122,3,1,15,15.153303,4.581214
E7.5:injection5:clone_123,1,2,8,9.58022,-1.1002915
E7.5:injection5:clone_124,0,8,1,11.688549,-0.87832433
E7.5:injection5:clone_125,7,11,14,2.1174278,8.344959
E7.5:injection5:clone_126,3,1,15,15.015089,3.5481308
E7.5:injection5:clone_127,1,2,8,9.992446,-1.7025412
E7.5:injection5:clone_128,0,2,8,10.026598,-1.1443202
E7.5:injection5:clone_129,1,2,8,10.484988,-1.9371786
E7.5:injection5:clone_13,0,3,4,14.956888,0.7347502
E7.5:injection5:clone_130,0,3,4,14.623004,0.3505596
E7.5:injection5:clone_131,0,8,1,10.887851,-0.3935438
E7.5:injection5:clone_132,3,1,15,15.040898,3.640015
E7.5:injection5:clone_133,1,2,10,8.314514,-1.2732099
E7.5:injection5:clone_134,3,1,16,16.530712,4.681185
E7.5:injection5:clone_136,2,0,6,0.2468213,3.595328
E7.5:injection5:clone_137,1,2,10,8.081593,-0.9351651
E7.5:injection5:clone_138,0,3,4,14.826077,0.74636525
E7.5:injection5:clone_14,3,1,16,15.659452,3.7745566
E7.5:injection5:clone_140,2,0,3,-1.3072262,5.1398864
E7.5:injection5:clone_141,1,2,10,7.8217826,-1.2341471
E7.5:injection5:clone_143,1,6,12,10.922871,-3.4899611
E7.5:injection5:clone_145,1,6,13,12.760741,-3.6514452
E7.5:injection5:clone_146,1,2,8,9.605354,-1.6766973
E7.5:injection5:clone_148,5,5,0,15.114056,-4.1752405
E7.5:injection5:clone_149,7,11,14,2.0626483,8.644866
E7.5:injection5:clone_150,3,1,15,15.241907,3.955999
E7.5:injection5:clone_156,3,1,15,14.42323,3.2637537
E7.5:injection5:clone_157,3,1,15,14.842143,3.8047428
E7.5:injection5:clone_158,0,8,1,11.233045,-0.7189146
E7.5:injection5:clone_159,6,9,9,-0.7755632,1.4522377
E7.5:injection5:clone_16,3,1,15,15.190601,3.5720177
E7.5:injection5:clone_160,1,2,10,7.5524244,-1.5715727
E7.5:injection5:clone_161,5,5,0,13.934498,-5.221628
E7.5:injection5:clone_162,1,2,10,8.315225,-0.83575815
E7.5:injection5:clone_164,1,2,10,7.8267937,-2.0202992
E7.5:injection5:clone_166,0,3,4,14.057273,0.44821727
E7.5:injection5:clone_168,5,5,0,13.580638,-5.0295153
E7.5:injection5:clone_169,0,8,1,10.5265,-0.5346072
E7.5:injection5:clone_17,3,1,15,15.194769,4.2025414
E7.5:injection5:clone_170,5,5,0,15.184477,-2.209426
E7.5:injection5:clone_172,1,6,13,12.369791,-2.708519
E7.5:injection5:clone_173,5,5,0,14.497027,-4.7496467
E7.5:injection5:clone_175,1,2,13,10.781124,-3.9358385
E7.5:injection5:clone_176,1,6,13,12.008706,-3.7023444
E7.5:injection5:clone_177,0,2,10,9.703343,-0.97155607
E7.5:injection5:clone_178,7,11,14,2.6184697,8.756381
E7.5:injection5:clone_180,5,5,0,14.641539,-2.159411
E7.5:injection5:clone_181,4,7,5,10.085321,-4.8412704
E7.5:injection5:clone_182,5,5,0,13.35361,-4.85258
E7.5:injection5:clone_183,3,1,15,14.979267,4.204843
E7.5:injection5:clone_185,3,1,7,16.546394,3.3913321
E7.5:injection5:clone_186,2,0,6,-0.32950208,3.2730248
E7.5:injection5:clone_187,6,9,9,-1.4281051,1.2555745
E7.5:injection5:clone_188,5,5,0,14.828393,-4.052921
E7.5:injection5:clone_189,1,6,12,10.212324,-2.79798
E7.5:injection5:clone_19,3,1,15,15.357064,3.7891457
E7.5:injection5:clone_190,3,1,7,16.176905,2.2646132
E7.5:injection5:clone_192,2,0,6,-0.18081816,3.5120192
E7.5:injection5:clone_194,0,8,1,10.823528,-1.213825
E7.5:injection5:clone_195,1,2,10,8.267651,-0.6910574
E7.5:injection5:clone_196,1,2,10,8.5917,-0.9648895
E7.5:injection5:clone_197,2,0,6,0.055251002,2.8969932
E7.5:injection5:clone_198,1,2,10,8.037958,-1.8648726
E7.5:injection5:clone_2,3,1,7,15.486798,2.8231704
E7.5:injection5:clone_20,3,1,7,15.143854,2.4659736
E7.5:injection5:clone_203,0,3,4,14.827441,-0.06261895
E7.5:injection5:clone_204,0,3,1,13.021454,-0.974735
E7.5:injection5:clone_205,1,6,13,10.791223,-4.6302414
E7.5:injection5:clone_206,1,2,8,10.057504,-1.4570463
E7.5:injection5:clone_207,1,6,13,12.259626,-2.3743672
E7.5:injection5:clone_208,1,2,8,9.492845,-1.6166768
E7.5:injection5:clone_209,0,8,1,12.733506,-0.13972521
E7.5:injection5:clone_21,1,2,10,7.565784,-2.0123782
E7.5:injection5:clone_210,0,8,1,11.821161,-0.9583894
E7.5:injection5:clone_211,7,11,14,2.095344,9.071672
E7.5:injection5:clone_212,0,3,1,13.59191,-0.74148923
E7.5:injection5:clone_213,0,8,1,12.378188,0.18981938
E7.5:injection5:clone_214,4,10,11,11.167881,-5.4685006
E7.5:injection5:clone_215,0,3,4,13.479116,0.849906
E7.5:injection5:clone_216,2,0,6,0.4259237,3.3256485
E7.5:injection5:clone_218,1,2,8,9.871714,-1.0649214
E7.5:injection5:clone_219,0,3,4,14.212465,-0.70508975
E7.5:injection5:clone_22,5,5,0,14.896517,-4.365227
E7.5:injection5:clone_220,0,8,1,11.89182,-0.18666498
E7.5:injection5:clone_222,4,7,5,9.540009,-4.834212
E7.5:injection5:clone_225,1,6,13,12.076498,-3.62335
E7.5:injection5:clone_227,1,2,8,8.28592,-2.5926096
E7.5:injection5:clone_228,1,2,8,9.515414,-1.6452873
E7.5:injection5:clone_229,0,8,1,11.778558,-0.64821553
E7.5:injection5:clone_230,7,11,14,2.8973722,9.281536
E7.5:injection5:clone_231,3,1,15,14.955314,4.4034405
E7.5:injection5:clone_232,1,6,13,12.811222,-3.8871953
E7.5:injection5:clone_233,0,3,17,13.744233,1.2949618
E7.5:injection5:clone_235,0,3,1,13.765285,-0.44361997
E7.5:injection5:clone_236,1,6,13,11.655652,-4.4094973
E7.5:injection5:clone_237,1,6,12,11.131195,-3.3078403
E7.5:injection5:clone_238,1,6,12,10.699021,-2.303312
E7.5:injection5:clone_239,0,8,1,12.151538,-0.53480244
E7.5:injection5:clone_24,1,2,10,8.698684,-1.6143978
E7.5:injection5:clone_240,3,1,7,16.390356,2.1280506
E7.5:injection5:clone_243,1,2,8,10.025975,-1.6558689
E7.5:injection5:clone_246,1,6,12,10.686522,-2.927564
E7.5:injection5:clone_247,0,8,1,11.457901,0.090169065
E7.5:injection5:clone_25,2,0,6,-0.32296863,3.5364685
E7.5:injection5:clone_250,0,3,4,15.293372,0.22775938
E7.5:injection5:clone_252,7,11,14,3.1100552,9.456811
E7.5:injection5:clone_253,4,7,5,10.093435,-4.3916078
E7.5:injection5:clone_254,0,8,1,11.738185,-0.39217675
E7.5:injection5:clone_255,0,3,4,13.52627,1.2489513
E7.5:injection5:clone_256,0,8,1,11.38591,-1.3412769
E7.5:injection5:clone_257,0,3,4,14.873787,0.6398536
E7.5:injection5:clone_258,1,2,8,9.564619,-1.8021848
E7.5:injection5:clone_26,3,1,15,14.559696,4.2648005
E7.5:injection5:clone_261,3,1,15,15.213794,4.6888065
