,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection10:clone_1001,0,2,6,Lrp2,10.7757845,10.356084
E7.5:injection10:clone_1003,0,2,7,EGFP-1,9.071666,11.697433
E7.5:injection10:clone_1006,9,13,19,Lgr4,-2.267112,4.4018493
E7.5:injection10:clone_1007,5,8,4,EGFP-1,8.358071,2.390714
E7.5:injection10:clone_1017,4,3,5,Lgr4,12.346455,4.356465
E7.5:injection10:clone_1020,4,3,13,Acvr2a,13.458866,4.0245996
E7.5:injection10:clone_1021,0,5,3,Lgr4,7.522353,11.499605
E7.5:injection10:clone_1026,4,3,5,Fgfr1,12.905072,5.113472
E7.5:injection10:clone_1027,0,2,7,Fgfr1,9.612501,10.978304
E7.5:injection10:clone_1030,1,0,11,EGFP-1,14.342438,8.391213
E7.5:injection10:clone_1031,4,3,5,Lgr4,12.215262,4.474314
E7.5:injection10:clone_1032,5,8,4,Lgr4,8.472486,1.1288099
E7.5:injection10:clone_1033,6,7,8,Fgfr1,0.18349114,1.8115852
E7.5:injection10:clone_1034,4,3,5,Acvr2a,13.231085,5.1395454
E7.5:injection10:clone_1035,1,0,10,EGFP-1,11.71339,7.2088494
E7.5:injection10:clone_1038,0,2,6,Fzd2,9.8127985,10.6378
E7.5:injection10:clone_1043,4,3,13,Fgfr1,12.916869,3.453706
E7.5:injection10:clone_1044,0,2,6,Fzd2,10.629573,10.592635
E7.5:injection10:clone_1045,1,0,10,Lrp2,13.19392,6.418273
E7.5:injection10:clone_1055,2,1,1,Lrp2,12.731989,0.031843264
E7.5:injection10:clone_1056,0,5,3,Acvr2a,8.220627,11.055472
E7.5:injection10:clone_1061,4,3,13,Fzd2,13.702887,3.6243982
E7.5:injection10:clone_1066,1,0,2,Lgr4,12.818922,8.022208
E7.5:injection10:clone_1067,0,2,6,Acvr2a,10.127386,10.371251
E7.5:injection10:clone_1068,4,3,5,Acvr2a,12.4275055,3.5641034
E7.5:injection10:clone_1069,4,3,5,Fgfr1,12.393438,4.244299
E7.5:injection10:clone_1071,0,2,7,Acvr2a,9.089477,11.451904
E7.5:injection10:clone_1077,0,11,16,Fgfr1,7.9423223,9.353382
E7.5:injection10:clone_1080,1,0,9,EGFP-1,12.719422,7.4510045
