,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection10:clone_100,1,4,1,Fgfr1,8.215845,-0.25768748
E7.5:injection10:clone_101,0,1,0,Acvr2a,-5.238751,3.1639185
E7.5:injection10:clone_103,2,0,8,Lrp2,9.217819,-5.88711
E7.5:injection10:clone_105,2,0,21,Fgfr1,8.460643,-3.3926015
E7.5:injection10:clone_108,2,0,1,Lgr4,8.798009,-5.768368
E7.5:injection10:clone_109,0,7,14,Lgr4,-3.0749252,0.9023588
E7.5:injection10:clone_111,1,4,1,EGFP-1,8.520702,-2.636174
E7.5:injection10:clone_112,0,7,14,Fzd2,-4.3935914,0.4650407
E7.5:injection10:clone_115,2,0,8,Acvr2a,8.308287,-6.2681813
E7.5:injection10:clone_13,0,7,13,Lgr4,-1.7847219,-0.36341077
E7.5:injection10:clone_131,0,1,0,Fgfr1,-5.3539453,2.914157
E7.5:injection10:clone_134,0,1,0,Lgr4,-4.568421,2.7054899
E7.5:injection10:clone_135,0,1,0,Lgr4,-2.5955217,3.0043576
E7.5:injection10:clone_136,0,7,14,Fzd2,-2.990467,-0.12813969
E7.5:injection10:clone_144,5,6,4,EGFP-1,14.936593,-3.4885645
E7.5:injection10:clone_157,4,5,12,EGFP-1,13.347197,1.175269
E7.5:injection10:clone_158,2,0,8,Lgr4,8.018606,-6.588679
E7.5:injection10:clone_163,0,1,0,Lgr4,-5.3794217,3.0679493
E7.5:injection10:clone_169,5,6,4,Acvr2a,13.573239,-4.9495187
E7.5:injection10:clone_172,5,6,4,Acvr2a,14.423089,-4.1667957
E7.5:injection10:clone_178,1,4,1,Fgfr1,8.013184,-1.8835043
E7.5:injection10:clone_186,0,1,0,multi_gRNA,-3.7909362,4.4864836
E7.5:injection10:clone_19,0,7,13,Acvr2a,-1.534285,0.05284048
E7.5:injection10:clone_191,2,0,8,Lgr4,8.75384,-5.4567966
E7.5:injection10:clone_193,0,1,14,Lrp2,-4.230978,1.888101
E7.5:injection10:clone_195,3,2,8,Lrp2,8.068317,-7.501523
E7.5:injection10:clone_196,7,10,15,Lgr4,-3.933552,-0.8506083
E7.5:injection10:clone_199,4,5,12,Lrp2,13.255167,0.50700253
E7.5:injection10:clone_2,3,2,6,Fgfr1,6.49666,-8.156509
E7.5:injection10:clone_209,0,1,0,Fgfr1,-3.1865258,3.5214026
E7.5:injection10:clone_213,1,4,1,Acvr2a,7.98317,-0.42606905
E7.5:injection10:clone_218,1,4,1,Acvr2a,8.888104,-1.4319717
E7.5:injection10:clone_224,2,0,8,EGFP-1,8.176236,-5.9927216
E7.5:injection10:clone_23,0,1,0,Acvr2a,-5.7164407,3.4677691
E7.5:injection10:clone_231,0,1,0,Fgfr1,-3.840077,3.8430278
E7.5:injection10:clone_235,2,0,8,Fzd2,10.086307,-7.048548
E7.5:injection10:clone_236,1,3,7,Lgr4,8.958326,0.8698353
E7.5:injection10:clone_248,0,1,0,Acvr2a,-4.1359506,3.9752345
E7.5:injection10:clone_251,5,6,4,Fgfr1,13.953742,-3.8063486
E7.5:injection10:clone_253,0,1,0,Fgfr1,-5.2788835,3.515144
E7.5:injection10:clone_264,0,1,0,Fzd2,-4.8570585,2.8200645
E7.5:injection10:clone_272,0,1,0,Lgr4,-3.4475422,4.523537
E7.5:injection10:clone_286,0,1,0,Acvr2a,-4.8938837,4.745599
E7.5:injection10:clone_29,0,1,0,Acvr2a,-4.5516443,3.7298725
E7.5:injection10:clone_3,0,1,0,Lgr4,-2.3773243,2.5191193
E7.5:injection10:clone_319,5,6,4,Lrp2,12.442029,-4.618993
E7.5:injection10:clone_33,2,0,2,Lgr4,9.295455,-4.692029
E7.5:injection10:clone_331,0,1,0,Lgr4,-4.597937,4.898163
E7.5:injection10:clone_338,2,0,8,Fzd2,8.638503,-6.85375
E7.5:injection10:clone_342,0,1,0,Acvr2a,-3.3140664,4.4066544
E7.5:injection10:clone_369,2,0,8,Lgr4,8.352682,-5.6115
E7.5:injection10:clone_37,2,0,2,Fgfr1,9.073142,-4.590089
E7.5:injection10:clone_374,5,6,4,Lrp2,13.886126,-2.8228953
E7.5:injection10:clone_39,2,0,8,Lrp2,9.040412,-6.146753
E7.5:injection10:clone_40,2,0,2,Fzd2,9.790555,-4.827264
E7.5:injection10:clone_42,0,1,0,Lgr4,-5.5331497,4.023622
E7.5:injection10:clone_46,2,0,4,EGFP-1,11.677051,-4.4061503
E7.5:injection10:clone_50,0,7,14,Lgr4,-4.2449217,0.60329276
E7.5:injection10:clone_51,1,4,1,Fzd2,8.609655,-1.8049569
E7.5:injection10:clone_53,1,3,7,Fgfr1,7.8459535,0.055486508
E7.5:injection10:clone_56,1,3,7,Fzd2,8.517462,0.75149554
E7.5:injection10:clone_57,0,1,0,Fgfr1,-4.679019,3.5731587
E7.5:injection10:clone_59,0,7,13,Fgfr1,-3.019693,1.1097237
E7.5:injection10:clone_60,7,10,15,Fzd2,-3.5263033,-0.48797616
E7.5:injection10:clone_63,2,0,2,Fzd2,9.4389,-3.9578288
E7.5:injection10:clone_68,2,0,8,Lrp2,8.301076,-7.3188066
E7.5:injection10:clone_70,0,1,0,Fzd2,-4.199958,5.0111527
E7.5:injection10:clone_76,2,0,21,Lgr4,8.805827,-3.5854094
E7.5:injection10:clone_78,4,5,5,Acvr2a,13.125238,2.9056969
E7.5:injection10:clone_80,2,0,8,EGFP-1,7.9856973,-6.519838
E7.5:injection10:clone_83,3,2,3,Acvr2a,9.465502,-7.3591146
E7.5:injection10:clone_88,5,6,4,Acvr2a,12.152091,-4.6057177
E7.5:injection10:clone_93,4,5,12,Fzd2,13.646995,0.43394178
E7.5:injection10:clone_94,2,0,2,Acvr2a,9.080674,-4.9827237
E7.5:injection5:clone_0,2,0,2,NA,10.438784,-6.5845222
E7.5:injection5:clone_10,3,2,3,NA,8.833568,-9.395608
E7.5:injection5:clone_1002,9,13,20,NA,14.572732,-16.684595
E7.5:injection5:clone_101,3,2,3,NA,7.823893,-8.326255
E7.5:injection5:clone_1012,1,4,16,NA,9.123519,-2.212309
E7.5:injection5:clone_102,3,2,3,NA,9.793331,-7.6390753
E7.5:injection5:clone_1026,2,0,2,NA,10.496143,-4.0818768
E7.5:injection5:clone_103,1,3,7,NA,9.030125,0.58008766
E7.5:injection5:clone_1042,1,8,10,NA,11.53514,-0.82305515
E7.5:injection5:clone_105,3,2,3,NA,9.682696,-8.79837
E7.5:injection5:clone_1057,1,4,16,NA,10.253618,-0.7642353
E7.5:injection5:clone_1059,1,8,16,NA,10.609112,-0.62782854
E7.5:injection5:clone_106,3,2,3,NA,9.112297,-9.432524
E7.5:injection5:clone_107,3,2,3,NA,9.858272,-7.2199335
E7.5:injection5:clone_109,3,2,3,NA,7.8545165,-6.706307
E7.5:injection5:clone_11,5,6,4,NA,13.346411,-4.604183
E7.5:injection5:clone_110,1,3,7,NA,9.092779,1.9185495
E7.5:injection5:clone_111,2,0,2,NA,11.149574,-3.7623055
E7.5:injection5:clone_112,1,3,7,NA,8.723792,1.8752122
E7.5:injection5:clone_113,1,3,7,NA,8.855128,2.1115904
E7.5:injection5:clone_114,5,6,22,NA,14.3905525,-2.2872298
E7.5:injection5:clone_115,1,4,16,NA,9.4807415,-1.043968
E7.5:injection5:clone_116,1,4,16,NA,10.029448,-0.57874686
E7.5:injection5:clone_117,1,4,1,NA,8.726925,-1.5757476
E7.5:injection5:clone_118,1,3,7,NA,9.090102,1.9059051
E7.5:injection5:clone_119,7,10,15,NA,-4.1614122,-1.3062526
E7.5:injection5:clone_12,2,0,2,NA,11.162459,-4.462729
E7.5:injection5:clone_120,2,0,2,NA,10.682074,-5.9003634
E7.5:injection5:clone_121,1,8,10,NA,11.079752,-0.7620894
E7.5:injection5:clone_122,3,2,3,NA,7.2049603,-8.471337
E7.5:injection5:clone_123,1,4,16,NA,9.895078,-0.4665404
E7.5:injection5:clone_124,1,4,1,NA,9.549759,-1.7892299
E7.5:injection5:clone_125,9,13,20,NA,15.332936,-16.381994
E7.5:injection5:clone_126,3,2,3,NA,8.805087,-8.129741
E7.5:injection5:clone_127,1,4,16,NA,10.735431,-0.7097893
E7.5:injection5:clone_128,1,4,16,NA,10.151063,-0.984516
E7.5:injection5:clone_129,1,8,10,NA,10.941471,-1.1726325
E7.5:injection5:clone_13,2,0,2,NA,10.297295,-5.872962
E7.5:injection5:clone_130,2,0,2,NA,10.389847,-4.7537975
E7.5:injection5:clone_131,1,4,16,NA,9.220052,-1.6961049
E7.5:injection5:clone_132,3,2,3,NA,8.414888,-8.051792
E7.5:injection5:clone_133,1,3,7,NA,9.926152,0.84999883
E7.5:injection5:clone_134,3,2,3,NA,8.864514,-9.8799095
E7.5:injection5:clone_136,0,1,0,NA,-5.721924,3.381008
E7.5:injection5:clone_137,1,3,7,NA,8.80552,1.1800284
E7.5:injection5:clone_138,2,0,2,NA,10.774142,-5.739026
E7.5:injection5:clone_14,3,2,3,NA,8.841055,-8.403041
E7.5:injection5:clone_140,0,7,13,NA,-2.6345727,1.1563754
E7.5:injection5:clone_141,1,3,7,NA,8.756942,1.7517849
E7.5:injection5:clone_143,1,8,10,NA,11.934109,-2.089954
E7.5:injection5:clone_145,5,8,19,NA,12.938079,-1.9450718
E7.5:injection5:clone_146,1,4,16,NA,10.723871,-0.41668105
E7.5:injection5:clone_148,5,6,4,NA,14.247257,-3.411798
E7.5:injection5:clone_149,9,13,20,NA,15.364549,-16.459566
E7.5:injection5:clone_150,3,2,3,NA,8.216032,-8.311907
E7.5:injection5:clone_156,3,2,3,NA,7.659277,-7.1388617
E7.5:injection5:clone_157,3,2,3,NA,7.811082,-8.135253
E7.5:injection5:clone_158,1,4,16,NA,9.743287,-2.1837687
E7.5:injection5:clone_159,7,10,15,NA,-4.8916054,-1.3349836
E7.5:injection5:clone_16,3,2,3,NA,8.654425,-8.345062
E7.5:injection5:clone_160,1,3,7,NA,8.995327,1.5007508
E7.5:injection5:clone_161,5,6,22,NA,14.7915945,-2.2344918
E7.5:injection5:clone_162,1,3,7,NA,8.60628,1.1209778
E7.5:injection5:clone_164,1,3,7,NA,9.459606,1.6273174
E7.5:injection5:clone_166,2,0,2,NA,10.173483,-5.509434
E7.5:injection5:clone_168,5,6,22,NA,14.485487,-2.1365664
E7.5:injection5:clone_169,1,4,16,NA,9.752229,-0.69674176
E7.5:injection5:clone_17,3,2,3,NA,7.7627683,-8.375082
E7.5:injection5:clone_170,5,6,4,NA,12.73593,-4.7894216
E7.5:injection5:clone_172,5,8,19,NA,12.697648,-2.1760726
E7.5:injection5:clone_173,5,6,22,NA,14.709381,-2.5567994
E7.5:injection5:clone_175,1,3,7,NA,11.258112,0.17139474
E7.5:injection5:clone_176,5,8,19,NA,13.166669,-1.473413
E7.5:injection5:clone_177,1,4,16,NA,10.013145,-0.89819664
E7.5:injection5:clone_178,9,13,20,NA,15.136887,-16.692204
E7.5:injection5:clone_180,5,6,4,NA,12.853898,-4.446327
E7.5:injection5:clone_181,4,5,12,NA,14.1679735,-0.19499403
E7.5:injection5:clone_182,4,5,12,NA,14.425991,-0.7711319
E7.5:injection5:clone_183,3,2,3,NA,7.2955713,-8.119562
E7.5:injection5:clone_185,3,2,3,NA,9.787839,-8.88634
E7.5:injection5:clone_186,0,1,0,NA,-5.4003677,2.7777576
E7.5:injection5:clone_187,7,10,15,NA,-4.1024117,-2.2733216
E7.5:injection5:clone_188,5,6,4,NA,14.321448,-3.268615
E7.5:injection5:clone_189,1,8,10,NA,11.3284,-0.95981145
E7.5:injection5:clone_19,3,2,3,NA,8.388116,-8.237915
E7.5:injection5:clone_190,3,2,3,NA,10.078232,-8.247329
E7.5:injection5:clone_192,0,1,14,NA,-3.9012825,2.1521525
E7.5:injection5:clone_194,1,4,16,NA,10.1821165,-1.5237511
E7.5:injection5:clone_195,1,3,7,NA,9.506993,0.78955203
E7.5:injection5:clone_196,1,3,7,NA,9.227511,1.0252048
E7.5:injection5:clone_197,0,7,14,NA,-4.9500074,1.2440872
E7.5:injection5:clone_198,1,3,7,NA,8.602933,1.9400088
E7.5:injection5:clone_2,3,2,3,NA,9.295748,-8.106442
E7.5:injection5:clone_20,3,2,3,NA,9.840569,-7.680076
E7.5:injection5:clone_203,2,0,2,NA,10.776831,-5.565383
E7.5:injection5:clone_204,2,0,2,NA,10.506888,-3.925761
